category,value
COMPANY_DOMAIN,Technology & Digital
COMPANY_DOMAIN,Software Development & Applications
COMPANY_DOMAIN,Artificial Intelligence & Machine Learning
COMPANY_DOMAIN,Data Science & Analytics
COMPANY_DOMAIN,Cybersecurity
COMPANY_DOMAIN,Cloud Computing & IT Infrastructure
COMPANY_DOMAIN,Automation & Robotics
COMPANY_DOMAIN,Internet of Things (IoT)
COMPANY_DOMAIN,Blockchain & Web3
COMPANY_DOMAIN,Virtual & Augmented Reality (VR/AR)
COMPANY_DOMAIN,Health, Biotech & Life Sciences
COMPANY_DOMAIN,Medical Technologies (MedTech)
COMPANY_DOMAIN,Digital Health / HealthTech
COMPANY_DOMAIN,Biotechnology
COMPANY_DOMAIN,Bioinformatics & Biomedical Data
COMPANY_DOMAIN,Medical Devices
COMPANY_DOMAIN,Clinical Research & Pharmaceuticals
COMPANY_DOMAIN,Nutrition & Wellness
COMPANY_DOMAIN,Mental Health & Wellbeing
COMPANY_DOMAIN,Energy, Environment & Sustainability
COMPANY_DOMAIN,Renewable Energy
COMPANY_DOMAIN,Energy Efficiency
COMPANY_DOMAIN,Environmental Technologies
COMPANY_DOMAIN,Sustainability & ESG
COMPANY_DOMAIN,Circular Economy
COMPANY_DOMAIN,Sustainable Agriculture (AgriTech)
COMPANY_DOMAIN,Water & Resource Management
COMPANY_DOMAIN,Climate Technologies (ClimateTech)
COMPANY_DOMAIN,Engineering & Manufacturing
COMPANY_DOMAIN,Mechanical Engineering
COMPANY_DOMAIN,Electrical & Electronic Engineering
COMPANY_DOMAIN,Industrial Engineering
COMPANY_DOMAIN,Advanced Manufacturing
COMPANY_DOMAIN,Advanced Materials
COMPANY_DOMAIN,Nanotechnology
COMPANY_DOMAIN,Industrial Design & Prototyping
COMPANY_DOMAIN,Hardware & Embedded Systems
COMPANY_DOMAIN,Mobility & Smart Infrastructure
COMPANY_DOMAIN,Smart Mobility
COMPANY_DOMAIN,Automotive & Electric Vehicles
COMPANY_DOMAIN,Logistics & Supply Chain
COMPANY_DOMAIN,Smart Cities
COMPANY_DOMAIN,Construction & Infrastructure
COMPANY_DOMAIN,Drones & Autonomous Systems
COMPANY_DOMAIN,Business, Finance & Consulting
COMPANY_DOMAIN,Business Consulting
COMPANY_DOMAIN,Strategy & Management
COMPANY_DOMAIN,FinTech
COMPANY_DOMAIN,Financial Analysis
COMPANY_DOMAIN,Marketing & Growth
COMPANY_DOMAIN,Market Research
COMPANY_DOMAIN,Innovation Management
COMPANY_DOMAIN,Legal & Intellectual Property
COMPANY_DOMAIN,Commerce, Media & Creative Industries
COMPANY_DOMAIN,E-commerce & Marketplaces
COMPANY_DOMAIN,Retail & Consumer Tech
COMPANY_DOMAIN,Digital Media
COMPANY_DOMAIN,Advertising & Communications
COMPANY_DOMAIN,Design & UX/UI
COMPANY_DOMAIN,Gaming & Entertainment
COMPANY_DOMAIN,Content Creation & Publishing
COMPANY_DOMAIN,Education, Training & Knowledge
COMPANY_DOMAIN,Digital Education (EdTech)
COMPANY_DOMAIN,Professional Training
COMPANY_DOMAIN,Learning Platforms
COMPANY_DOMAIN,Research & Development (R&D)
COMPANY_DOMAIN,Technology Transfer
COMPANY_DOMAIN,Knowledge Management
COMPANY_DOMAIN,Social Impact & Public Sector
COMPANY_DOMAIN,Social Innovation
COMPANY_DOMAIN,Public Policy
COMPANY_DOMAIN,Community Development
COMPANY_DOMAIN,GovTech
COMPANY_DOMAIN,Non-Profit & Social Economy
COMPANY_DOMAIN,Impact Assessment & Evaluation
COMPANY_DOMAIN,Interdisciplinary & Emerging Technologies
COMPANY_DOMAIN,Deep Tech
COMPANY_DOMAIN,Applied Research
COMPANY_DOMAIN,Human-Centered Design
COMPANY_DOMAIN,Behavioral Science (Applied)
COMPANY_DOMAIN,Digital Transformation
COMPANY_DOMAIN,Cross-disciplinary Solutions
